용도,개발위치,소재지,데이터기준일자
생활용수,대구광역시 북구 침산동 215번지 2호 (2호공) (도로명 : 대구광역시 북구 침산남로 170 (침산동 2호공)),대구광역시 북구 중앙대로 591 203동 2202호 (침산동침산동코오롱하늘채),2024-07-26
농업용수,대구광역시 북구 동변동 138번지 8호 ,대구광역시 수성구 파동로 105 (파동),2024-07-26
생활용수,대구광역시 북구 도남동 617번지 (도로명 : 대구광역시 북구 도남길 148-37 (도남동)),   ,2024-07-26
농업용수,대구광역시 북구 서변동 121번지 1호 ,대구광역시 북구 오봉로 10 (노원동1가),2024-07-26
생활용수,대구광역시 북구 침산동 794번지 침산주유소 (도로명 : 대구광역시 북구 노원로 255 (침산동침산주유소)),   ,2024-07-26
생활용수,대구광역시 북구 도남동 470번지 (도로명 : 대구광역시 북구 도남길 193-28 (도남동)),   ,2024-07-26
농업용수,대구광역시 북구 동변동 119번지 2호 ,대구광역시 북구 동변로24길 14-6 (동변동),2024-07-26
생활용수,대구광역시 북구 금호동 232번지 1호 ,   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 103번지 9호 (도로명 : 대구광역시 북구 칠성시장로3길 10-4 (칠성동1가)),대구광역시 북구 칠성시장로3길 10-4 (칠성동1가),2024-07-26
생활용수,대구광역시 북구 연경동 277번지 ,   ,2024-07-26
생활용수,대구광역시 북구 연경동 456번지 ,   ,2024-07-26
생활용수,대구광역시 북구 서변동 505번지 1호 (도로명 : 대구광역시 북구 호국로 299 (서변동)),   ,2024-07-26
생활용수,대구광역시 북구 서변동 155번지 (도로명 : 대구광역시 북구 이곡길 22-5 (서변동)),울산광역시 북구 화봉동 동아아파트 107동 501호,2024-07-26
생활용수,대구광역시 북구 도남동 402번지 1호 (도로명 : 대구광역시 북구 도남길 219-30 (도남동)),대구광역시 북구 도남길 219-30 (도남동),2024-07-26
농업용수,대구광역시 북구 동변동 139번지 5호 ,대구광역시 북구 동변로24길 90-10 (동변동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 49번지 2호 (도로명 : 대구광역시 북구 칠성시장로3길 9-22 (칠성동1가)),대구광역시 북구 칠성시장로3길 9-22 (칠성동1가),2024-07-26
생활용수,대구광역시 북구 칠성동1가 54번지 11호 (도로명 : 대구광역시 북구 칠성시장로3길 9-16 (칠성동1가매일식품)),대구광역시 북구 칠성시장로3길 9-16 (칠성동1가),2024-07-26
생활용수,대구광역시 북구 칠성동1가 59번지 1호 (도로명 : 대구광역시 북구 칠성시장로5길 9 (칠성동1가)),대구광역시 북구 칠성시장로5길 9 (칠성동1가),2024-07-26
농업용수,대구광역시 북구 서변동 651번지 1호 ,대구광역시 동구 화랑로25길 42-1 103호 (효목동영광빌라),2024-07-26
생활용수,대구광역시 북구 동변동 357번지 (도로명 : 대구광역시 북구 동변로18길 5-3 (동변동)),   ,2024-07-26
생활용수,대구광역시 북구 서변동 581번지 ,대구광역시 북구 서변동 581번지 ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 97번지 1호 (경남수산) (도로명 : 대구광역시 북구 칠성시장로 15-1 (칠성동1가 (경남수산))),대구광역시 수성구 청수로 261 1413동 2402층 (황금동 캐슬골드파크 4단지),2024-07-26
생활용수,대구광역시 북구 도남동 558번지 ,대구광역시 북구 도남동 365번지 ,2024-07-26
생활용수,대구광역시 북구 도남동 620번지 1호 (도로명 : 대구광역시 북구 도남길 148-34 (도남동)),   ,2024-07-26
농업용수,대구광역시 북구 동변동 139번지 2호 (도로명 : 대구광역시 북구 동변로24길 90-10 (동변동)),대구광역시 북구 동변로24길 90-10 (동변동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 97번지 8호 가파도해물 (도로명 : 대구광역시 북구 칠성시장로5길 3-1 (칠성동1가가파도해물)),대구광역시 서구 북비산로37길 9-74 (평리동),2024-07-26
생활용수,대구광역시 북구 국우동 687번지 (도로명 : 대구광역시 북구 도남길 39-10 (국우동)),   ,2024-07-26
생활용수,대구광역시 북구 서변동 543번지 (도로명 : 대구광역시 북구 도곡길 101 (서변동)),대구광역시 북구 도곡길 101 (서변동),2024-07-26
생활용수,대구광역시 북구 도남동 395번지 3호 (도로명 : 대구광역시 북구 도남길 219-4 (도남동)),   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 67번지 7호 (도로명 : 대구광역시 북구 칠성시장로3길 18-13 (칠성동1가)),대구광역시 북구 칠성시장로3길 18-13 (칠성동1가),2024-07-26
농업용수,대구광역시 북구 국우동 697번지 (도로명 : 대구광역시 북구 도남길 33-13 (국우동)),   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 64번지 4호 (도로명 : 대구광역시 북구 칠성시장로3길 18 (칠성동1가)),대구광역시 동구 율하동로26길 23 (신기동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 71번지 2호 (도로명 : 대구광역시 북구 칠성시장로3길 26-4 (칠성동1가)),대구광역시 북구 칠성시장로3길 26-4 (칠성동1가),2024-07-26
생활용수,대구광역시 북구 침산동 587번지 14호 (도로명 : 대구광역시 북구 침산로 224 (침산동)),대구광역시 북구 침산로 224 (침산동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 125번지 1호 7호 (도로명 : 대구광역시 북구 신암로 24 (칠성동1가 7호)),대구광역시 북구 신암로 24 (칠성동1가),2024-07-26
생활용수,대구광역시 북구 도남동 471번지 ,   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 53번지 1호 (도로명 : 대구광역시 북구 칠성시장로3길 17 (칠성동1가)),대구광역시 북구 칠성시장로3길 17 (칠성동1가),2024-07-26
생활용수,대구광역시 북구 칠성동1가 159번지 6호 (도로명 : 대구광역시 북구 칠성시장로 18-2 (칠성동1가)),대구광역시 중구 동덕로 33 2동 202호 (대봉동 청운맨션),2024-07-26
생활용수,대구광역시 북구 연경동 246번지 ,   ,2024-07-26
농업용수,대구광역시 북구 동변동 124번지 1호 ,경기도 성남시 분당구 미금일로 22 (구미동),2024-07-26
생활용수,대구광역시 북구 도남동 434번지 1호 (도로명 : 대구광역시 북구 도남길 219-58 (도남동)),   ,2024-07-26
농업용수,대구광역시 북구 연경동 525번지 3호 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
농업용수,대구광역시 북구 서변동 431번지 2호 (도로명 : 대구광역시 북구 동화천로 113 (서변동)),대구광역시 북구 동화천로 113 (서변동),2024-07-26
농업용수,대구광역시 북구 도남동 608번지 2호 ,대구광역시 북구 팔거천동로 70 105동 1503호 (구암동 금빛타운),2024-07-26
생활용수,대구광역시 북구 읍내동 679번지 1호 (도로명 : 대구광역시 북구 관음중앙로33길 8 (읍내동)),대구광역시 북구 팔달로27길 13 (노원동3가),2024-07-26
생활용수,대구광역시 북구 서변동 547번지 (도로명 : 대구광역시 북구 도곡길 96 (서변동)),대구광역시 북구 도곡길 96 (서변동),2024-07-26
농업용수,대구광역시 북구 동변동 138번지 (도로명 : 대구광역시 북구 동변로24길 104 (동변동)),대구광역시 수성구 수성로 71 (상동),2024-07-26
생활용수,대구광역시 북구 도남동 605번지 (도로명 : 대구광역시 북구 도남길 148-57 (도남동)),   ,2024-07-26
생활용수,대구광역시 북구 금호동 108번지 6호 (도로명 : 대구광역시 북구 문주길 45-30 (금호동)),대구광역시 북구 문주길 45-30 (금호동),2024-07-26
생활용수,대구광역시 북구 도남동 494번지 (도로명 : 대구광역시 북구 도남길 193-64 (도남동)),   ,2024-07-26
생활용수,대구광역시 북구 국우동 692번지 (도로명 : 대구광역시 북구 도남길 37-3 (국우동)),   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 66번지 7호 평양만두 (도로명 : 대구광역시 북구 칠성시장로3길 18-5 (칠성동1가 평양만두)),대구광역시 수성구 동대구로12안길 26-28 (지산동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 71번지 2호 (도로명 : 대구광역시 북구 칠성시장로3길 26-4 (칠성동1가)),대구광역시 북구 칠성시장로3길 26-4 (칠성동1가),2024-07-26
생활용수,대구광역시 북구 서변동 550번지 (도로명 : 대구광역시 북구 도곡길 98-1 (서변동)),대구광역시 북구 도곡길 98-1 (서변동),2024-07-26
생활용수,대구광역시 북구 노원동3가 729번지 5호 팔달냉동 (도로명 : 대구광역시 북구 팔달로27길 11-29 (노원동3가팔달냉동)),대구광역시 수성구 만촌동 만촌우방2차아파트 203동 203호,2024-07-26
생활용수,대구광역시 북구 칠성동1가 52번지 2호 (도로명 : 대구광역시 북구 칠성시장로3길 21 (칠성동1가)),대구광역시 북구 침산동 선학아파트 102동 805호,2024-07-26
농업용수,대구광역시 북구 동변동 200번지 35호 ,대구광역시 동구 파계로116길 49 (중대동),2024-07-26
생활용수,대구광역시 북구 도남동 614번지 (도로명 : 대구광역시 북구 도남길 148-47 (도남동)),대구광역시 북구 도남길 148-47 (도남동),2024-07-26
생활용수,대구광역시 북구 도남동 607번지 5호 (도로명 : 대구광역시 북구 도남길 148-75 (도남동)),   ,2024-07-26
생활용수,대구광역시 북구 서변동 544번지 ,대구광역시 북구 서변동 544번지 ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 61번지 5호 (도로명 : 대구광역시 북구 칠성시장로3길 18-10 (칠성동1가)),대구광역시 동구 신평로28길 2 (신평동),2024-07-26
생활용수,대구광역시 북구 팔달동 50번지 1호 (도로명 : 대구광역시 북구 매천로18길 34 (팔달동)),대구광역시 북구 태전동 205번지 404호 29통 4반 한일아파트 102동 404호,2024-07-26
생활용수,대구광역시 북구 서변동 537번지 (도로명 : 대구광역시 북구 도곡길 89 (서변동)),대구광역시 북구 도곡길 89 (서변동),2024-07-26
생활용수,대구광역시 북구 국우동 386번지 (도로명 : 대구광역시 북구 솟골길 125-18 (국우동)),   ,2024-07-26
생활용수,대구광역시 북구 서변동 549번지 (도로명 : 대구광역시 북구 도곡길 98 (서변동)),대구광역시 북구 도곡길 98 (서변동),2024-07-26
농업용수,대구광역시 북구 국우동 431번지 ,대구광역시 북구 솟골길 82-45 (국우동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 159번지 5호 (도로명 : 대구광역시 북구 칠성시장로 18-1 (칠성동1가)),대구광역시 북구 칠성시장로 18-1 (칠성동1가),2024-07-26
생활용수,대구광역시 북구 연경동 336번지 ,   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 73번지 6호 (도로명 : 대구광역시 북구 칠성시장로3길 26-3 (칠성동1가)),대구광역시 북구 칠성시장로3길 26-3 (칠성동1가),2024-07-26
생활용수,대구광역시 북구 도남동 394번지 1호 (도로명 : 대구광역시 북구 도남길 209-8 (도남동)),대구광역시 북구 도남길 209-8 (도남동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 71번지 2호 (도로명 : 대구광역시 북구 칠성시장로3길 26-4 (칠성동1가)),대구광역시 북구 칠성시장로3길 26-4 (칠성동1가),2024-07-26
생활용수,대구광역시 북구 국우동 703번지 1호 (도로명 : 대구광역시 북구 구터길 1 (국우동)),   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 57번지 (도로명 : 대구광역시 북구 칠성시장로3길 10-3 (칠성동1가)),대구광역시 북구 칠성시장로3길 10-3 (칠성동1가),2024-07-26
생활용수,대구광역시 북구 칠성동1가 97번지 3호 (도로명 : 대구광역시 북구 칠성시장로5길 3 (칠성동1가)),대구광역시 북구 대현남로5길 34 (대현동),2024-07-26
생활용수,대구광역시 북구 도남동 511번지 ,   ,2024-07-26
생활용수,대구광역시 북구 도남동 618번지 (도로명 : 대구광역시 북구 도남길 148-41 (도남동)),   ,2024-07-26
공업용수,대구광역시 북구 산격동 10번지 12호 (도로명 : 대구광역시 북구 검단북로 2-13 (산격동)),대구광역시 북구 대현로21길 20 407호 (대현동대산아파트),2024-07-26
생활용수,대구광역시 북구 국우동 385번지 (도로명 : 대구광역시 북구 솟골길 125-16 (국우동)),   ,2024-07-26
생활용수,대구광역시 북구 도남동 산 124번지 (도로명 : 대구광역시 북구 도남길 148-130 (도남동)),   ,2024-07-26
생활용수,대구광역시 북구 팔달동 50번지 1호 (도로명 : 대구광역시 북구 매천로18길 34 (팔달동)),대구광역시 북구 칠곡중앙대로53길 32 102동 404호 (태전동한일아파트),2024-07-26
농업용수,대구광역시 북구 서변동 46번지 6호 ,대구광역시 북구 환성정길 35 (서변동),2024-07-26
생활용수,대구광역시 북구 도남동 604번지 (도로명 : 대구광역시 북구 도남길 148-35 (도남동)),   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 70번지 3호 (도로명 : 대구광역시 북구 칠성시장로3길 26-10 (칠성동1가)),대구광역시 북구 칠성시장로3길 26-10 (칠성동1가),2024-07-26
생활용수,대구광역시 북구 칠성동1가 62번지 (도로명 : 대구광역시 북구 칠성시장로3길 18-8 (칠성동1가)),대구광역시 북구 칠성동1가 61번지 ,2024-07-26
생활용수,대구광역시 북구 구암동 773번지 함지공원 ,대구광역시 북구 옥산로 65 (침산동),2024-07-26
생활용수,대구광역시 북구 노원동3가 749번지 9호 부용상회 (도로명 : 대구광역시 북구 팔달로27길 13 (노원동3가부용상회)),대구광역시 북구 팔달로27길 13 (노원동3가),2024-07-26
생활용수,대구광역시 북구 칠성동2가 302번지 329호 (도로명 : 대구광역시 북구 칠성남로30길 47-1 (칠성동2가)),   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 150번지 2호 (도로명 : 대구광역시 북구 칠성남로 230 (칠성동1가)),대구광역시 북구 칠성남로 230 (칠성동1가),2024-07-26
생활용수,대구광역시 북구 서변동 1786번지 대성골든프라자1차 (도로명 : 대구광역시 북구 호국로 219 대성골든프라자1차 (서변동)),대구광역시 북구 호국로 219 대성골든프라자1차 (서변동),2024-07-26
생활용수,대구광역시 북구 태전동 산 9번지 1호 ,   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 73번지 7호 (도로명 : 대구광역시 북구 칠성시장로3길 26-1 (칠성동1가)),대구광역시 북구 칠성시장로3길 26-1 (칠성동1가),2024-07-26
농업용수,대구광역시 북구 연경동 188번지 3호 (도로명 : 대구광역시 북구 도덕길 226-3 (연경동)),대구광역시 북구 동천로 97 101동 1901호 (동천동영남네오빌아트),2024-07-26
생활용수,대구광역시 북구 도남동 361번지 (도로명 : 대구광역시 북구 도남길 193-14 (도남동)),   ,2024-07-26
생활용수,대구광역시 북구 국우동 382번지 1호 (도로명 : 대구광역시 북구 솟골길 121 (국우동)),   ,2024-07-26
농업용수,대구광역시 북구 팔달동 255번지 2호 ,대구광역시 북구 매전로 17 105동 1202호 (매천동 매천 화성파크드림),2024-07-26
생활용수,대구광역시 북구 서변동 529번지 (도로명 : 대구광역시 북구 도곡길 75-4 (서변동)),   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 100번지 1호 청해수산 (도로명 : 대구광역시 북구 칠성시장로 13-1 (칠성동1가)),대구광역시 북구 대현로10길 82 104동 1901호 (대현동 대현e편한세상아파트),2024-07-26
농업용수,대구광역시 북구 도남동 317번지 (도로명 : 대구광역시 북구 도남길 188-22 (도남동)),대구광역시 북구 도남길 188-22 (도남동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 106번지 3호 화성닭집 (도로명 : 대구광역시 북구 칠성시장로3길 4 (칠성동1가화성닭집)),대구광역시 북구 칠성시장로3길 4 (칠성동1가),2024-07-26
생활용수,대구광역시 북구 칠성동1가 73번지 3호 (도로명 : 대구광역시 북구 칠성시장로3길 26-5 (칠성동1가)),대구광역시 북구 칠성시장로3길 26-5 (칠성동1가),2024-07-26
농업용수,대구광역시 북구 국우동 655번지 (도로명 : 대구광역시 북구 도남길 45-16 (국우동)),대구광역시 북구 도남길 45-14 (국우동),2024-07-26
생활용수,대구광역시 북구 국우동 387번지 2호 ,   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 64번지 4호 (도로명 : 대구광역시 북구 칠성시장로3길 18 (칠성동1가)),대구광역시 동구 율하동로26길 23 (신기동),2024-07-26
생활용수,대구광역시 북구 도남동 712번지 1호 ,대구광역시 북구 도남길 148-21 (도남동),2024-07-26
생활용수,대구광역시 북구 복현동 105번지 경상고등학교 (도로명 : 대구광역시 북구 공항로15길 24 (복현동경상고등학교)),대구광역시 북구 공항로15길 24 (복현동경상고등학교),2024-07-26
생활용수,대구광역시 북구 도남동 619번지 3호 ,   ,2024-07-26
생활용수,대구광역시 북구 도남동 402번지 (도로명 : 대구광역시 북구 도남길 219-34 (도남동)),   ,2024-07-26
농업용수,대구광역시 북구 칠성동2가 302번지 119호 대구꽃백화점 (도로명 : 대구광역시 북구 칠성남로 164 (칠성동2가대구꽃백화점)),대구광역시 북구 칠성남로 164 (칠성동2가대구꽃백화점),2024-07-26
생활용수,대구광역시 북구 칠성동1가 65번지 1호 이씨닭집 (도로명 : 대구광역시 북구 칠성시장로3길 20 (칠성동1가이씨닭집)),대구광역시 북구 칠성시장로3길 20 (칠성동1가),2024-07-26
생활용수,대구광역시 북구 칠성동1가 100번지 5호 (도로명 : 대구광역시 북구 칠성시장로 13 (칠성동1가)),대구광역시 수성구 동원로 123 109동 403호 (만촌동 메트로팔레스2단지아파트),2024-07-26
생활용수,대구광역시 북구 국우동 454번지 ,대구광역시 북구 국우동 454번지 (323-6259) ,2024-07-26
생활용수,대구광역시 북구 도남동 607번지 4호 (도로명 : 대구광역시 북구 도남길 148-73 (도남동)),   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 54번지 12호 (도로명 : 대구광역시 북구 칠성시장로3길 9-18 (칠성동1가)),대구광역시 수성구 신천동로 288 802호 (수성동1가 삼환아파트),2024-07-26
농업용수,대구광역시 북구 팔달동 340번지 ,대구광역시 북구 침산로 153 104동 1006호 (침산동명성푸르지오),2024-07-26
생활용수,대구광역시 북구 서변동 산 12번지 1호 ,대구광역시 북구 서변로 88 107동 506호 (서변동 동서리치모아),2024-07-26
생활용수,대구광역시 북구 칠성동1가 53번지 4호 (도로명 : 대구광역시 북구 칠성시장로3길 13-1 (칠성동1가)),대구광역시 북구 칠성시장로3길 13-1 (칠성동1가),2024-07-26
농업용수,대구광역시 북구 팔달동 250번지 7호 (도로명 : 대구광역시 북구 사수로 552-28 (팔달동)),대구광역시 북구 장태실2길 70 (팔달동),2024-07-26
생활용수,대구광역시 북구 칠성동1가 17번지 칠성상가 ,   ,2024-07-26
생활용수,대구광역시 북구 칠성동1가 107번지 1호 (도로명 : 대구광역시 북구 칠성시장로 5-1 (칠성동1가)),대구광역시 수성구 국채보상로192길 20-9 (범어동),2024-07-26
생활용수,대구광역시 북구 국우동 382번지 2호 ,   ,2024-07-26
농업용수,대구광역시 북구 도남동 751번지 ,대구광역시 북구 도남길 30 (국우동),2024-07-26
